state,fips.code,county,age.adjusted.percent.2004,age.adjusted.percent.2014
Texas,48005,Angelina County,26.3,37.5
Texas,48007,Aransas County,24.7,26.6
Texas,48009,Archer County,24.2,26.4
Texas,48011,Armstrong County,25.2,26.8
Texas,48013,Atascosa County,24.4,27.7
Texas,48015,Austin County,25.3,26.4
Texas,48017,Bailey County,24,26.6
Texas,48019,Bandera County,24,26.3
Texas,48021,Bastrop County,25.1,32.5
Texas,48023,Baylor County,24.3,27.9
Texas,48025,Bee County,25.5,29.2
Texas,48027,Bell County,27.5,29
Texas,48029,Bexar County,24.5,27.2
Texas,48031,Blanco County,23.6,28
Texas,48033,Borden County,24.1,27
Texas,48035,Bosque County,24.6,27.5
Texas,48037,Bowie County,26.3,32.3
Texas,48039,Brazoria County,25.7,30.8
Texas,48041,Brazos County,23.9,28.8
Texas,48043,Brewster County,24.2,27.4
Texas,48045,Briscoe County,24.5,26.1
Texas,48047,Brooks County,24,27.1
Texas,48049,Brown County,26.2,25
Texas,48051,Burleson County,27.1,29.4
Texas,48053,Burnet County,24.2,29.8
Texas,48055,Caldwell County,24.8,26.1
Texas,48057,Calhoun County,24.3,28.8
Texas,48059,Callahan County,24.4,28
Texas,48061,Cameron County,23.9,33.2
Texas,48063,Camp County,25.9,31.7
Texas,48065,Carson County,25.7,27.9
Texas,48067,Cass County,27,31.3
Texas,48069,Castro County,25.1,27.8
Texas,48071,Chambers County,25.5,28.1
Texas,48073,Cherokee County,26.6,29.9
Texas,48075,Childress County,25.5,27.3
Texas,48077,Clay County,25.3,28.9
Texas,48079,Cochran County,25,26.5
Texas,48081,Coke County,23.5,27.8
Texas,48083,Coleman County,24.1,27.7
Texas,48085,Collin County,23,24.2
Texas,48087,Collingsworth County,24.5,27.8
Texas,48089,Colorado County,24.9,28.2
Texas,48091,Comal County,24.1,26.1
Texas,48093,Comanche County,23.9,28.2
Texas,48095,Concho County,24.7,27.5
Texas,48097,Cooke County,25.5,28.8
Texas,48099,Coryell County,25,30.4
Texas,48101,Cottle County,25.1,27.1
Texas,48103,Crane County,24.3,29.1
Texas,48105,Crockett County,23.9,27.5
Texas,48107,Crosby County,25.6,27.6
Texas,48109,Culberson County,24.1,27.1
Texas,48111,Dallam County,24.8,31.1
Texas,48113,Dallas County,23.6,27.5
Texas,48115,Dawson County,24.4,30.1
Texas,48117,Deaf Smith County,24.1,29.3
Texas,48119,Delta County,24.6,27.7
Texas,48121,Denton County,22.1,22
Texas,48123,DeWitt County,24.9,30.4
Texas,48125,Dickens County,24.7,26.6
Texas,48127,Dimmit County,24.7,29.8
Texas,48129,Donley County,25.4,27.5
Texas,48131,Duval County,24.2,27.8
Texas,48133,Eastland County,24.5,28.1
Texas,48135,Ector County,24.3,31.5
Texas,48137,Edwards County,24.5,26.8
Texas,48139,Ellis County,25.1,29.4
Texas,48141,El Paso County,23.1,28.3
Texas,48143,Erath County,25,28.3
Texas,48145,Falls County,26.4,29.6
Texas,48147,Fannin County,26.7,28.2
Texas,48149,Fayette County,24.8,26.7
Texas,48151,Fisher County,24.5,26.3
Texas,48153,Floyd County,24.5,26.6
Texas,48155,Foard County,24.2,25.9
Texas,48157,Fort Bend County,24.3,23.5
Texas,48159,Franklin County,23.7,26.6
Texas,48161,Freestone County,25.5,28.2
Texas,48163,Frio County,25.3,27.6
Texas,48165,Gaines County,24.2,30.5
Texas,48167,Galveston County,25.3,27.1
Texas,48169,Garza County,24.8,27.4
Texas,48171,Gillespie County,23,26.6
Texas,48173,Glasscock County,24.2,26.3
Texas,48175,Goliad County,24.5,28.8
Texas,48177,Gonzales County,25.8,29.3
Texas,48179,Gray County,25.8,28.3
Texas,48181,Grayson County,24.8,28.7
Texas,48183,Gregg County,25.3,35.2
Texas,48185,Grimes County,26.6,28.7
Texas,48187,Guadalupe County,24.4,30.6
Texas,48189,Hale County,24.3,30.6
Texas,48191,Hall County,24.5,29.1
Texas,48193,Hamilton County,23.6,30.3
Texas,48195,Hansford County,24.1,27.8
Texas,48197,Hardeman County,24.5,28.2
Texas,48199,Hardin County,24.1,31.8
Texas,48201,Harris County,23.2,27
Texas,48203,Harrison County,26,33
Texas,48205,Hartley County,24.7,27.1
Texas,48207,Haskell County,24.5,27.2
Texas,48209,Hays County,23.2,23.8
Texas,48211,Hemphill County,24.6,26.5
Texas,48213,Henderson County,23.7,30.1
Texas,48215,Hidalgo County,26.4,34.4
Texas,48217,Hill County,26.8,28.7
Texas,48219,Hockley County,24.4,30.6
Texas,48221,Hood County,24,26.1
Texas,48223,Hopkins County,25.1,30.3
Texas,48225,Houston County,25,28.1
Texas,48227,Howard County,24.1,30.7
Texas,48229,Hudspeth County,24.6,25.8
Texas,48231,Hunt County,25.3,26.6
Texas,48233,Hutchinson County,25,30.9
Texas,48235,Irion County,23.9,27.3
Texas,48237,Jack County,24.9,26.6
Texas,48239,Jackson County,24.8,32.1
Texas,48241,Jasper County,26.4,28.7
Texas,48243,Jeff Davis County,24.3,25.4
Texas,48245,Jefferson County,26.8,33
Texas,48247,Jim Hogg County,24.5,27.2
Texas,48249,Jim Wells County,24.5,28.3
Texas,48251,Johnson County,25.8,29.9
Texas,48253,Jones County,25,27.3
Texas,48255,Karnes County,25.5,29.2
Texas,48257,Kaufman County,24.4,26.8
Texas,48259,Kendall County,23.4,26.8
Texas,48261,Kenedy County,24.8,26.1
Texas,48263,Kent County,24.3,26.2
Texas,48265,Kerr County,24,26.6
Texas,48267,Kimble County,24.2,28.1
Texas,48269,King County,24.3,26.8
Texas,48271,Kinney County,24.8,26.8
Texas,48273,Kleberg County,24.7,28.3
Texas,48275,Knox County,24.7,26.5
Texas,48277,Lamar County,26.3,32.7
Texas,48279,Lamb County,24.8,31
Texas,48281,Lampasas County,24.6,27.7
Texas,48283,La Salle County,25.1,26.9
Texas,48285,Lavaca County,25.4,31.8
Texas,48287,Lee County,25.8,27.7
Texas,48289,Leon County,24.8,29.3
Texas,48291,Liberty County,25.8,27.2
Texas,48293,Limestone County,25.3,34
Texas,48295,Lipscomb County,25,26.8
Texas,48297,Live Oak County,24.8,27.5
Texas,48299,Llano County,23,26.7
Texas,48301,Loving County,24.4,27.6
Texas,48303,Lubbock County,24.6,27.7
Texas,48305,Lynn County,24.4,27.9
Texas,48307,McCulloch County,23.7,28.3
Texas,48309,McLennan County,24,28.5
Texas,48311,McMullen County,23.9,32
Texas,48313,Madison County,25.5,29
Texas,48315,Marion County,26.1,30.9
Texas,48317,Martin County,24.5,26.8
Texas,48319,Mason County,24.8,25.7
Texas,48321,Matagorda County,26.4,31.6
Texas,48323,Maverick County,25.1,29.4
Texas,48325,Medina County,23.9,31.8
Texas,48327,Menard County,24,27
Texas,48329,Midland County,24.6,30.6
Texas,48331,Milam County,26.3,29.5
Texas,48333,Mills County,24.6,25.8
Texas,48335,Mitchell County,25.6,26.7
Texas,48337,Montague County,24.3,25.6
Texas,48339,Montgomery County,23.9,24.1
Texas,48341,Moore County,25.2,29.7
Texas,48343,Morris County,26.2,29.8
Texas,48345,Motley County,24.3,26.6
Texas,48347,Nacogdoches County,26,32.2
Texas,48349,Navarro County,26.2,28.1
Texas,48351,Newton County,26.9,27.5
Texas,48353,Nolan County,24.9,28.9
Texas,48355,Nueces County,25.2,33.5
Texas,48357,Ochiltree County,25.1,28.5
Texas,48359,Oldham County,24.7,28.8
Texas,48361,Orange County,25.3,29.2
Texas,48363,Palo Pinto County,24.8,29.1
Texas,48365,Panola County,25.8,30.4
Texas,48367,Parker County,23.4,28.5
Texas,48369,Parmer County,25.1,29.2
Texas,48371,Pecos County,24.8,28.4
Texas,48373,Polk County,27,29.3
Texas,48375,Potter County,23.9,30.8
Texas,48377,Presidio County,24.2,26
Texas,48379,Rains County,24.6,29.4
Texas,48381,Randall County,25.7,26.5
Texas,48383,Reagan County,25.1,27.3
Texas,48385,Real County,24.2,27.3
Texas,48387,Red River County,25,30.6
Texas,48389,Reeves County,24.8,28.4
Texas,48391,Refugio County,25.1,28.1
Texas,48393,Roberts County,25.4,26.1
Texas,48395,Robertson County,26.3,29.5
Texas,48397,Rockwall County,25.1,24.8
Texas,48399,Runnels County,24,26.4
Texas,48401,Rusk County,26.6,30.6
Texas,48403,Sabine County,25.2,27.5
Texas,48405,San Augustine County,26,32.4
Texas,48407,San Jacinto County,27.4,27.7
Texas,48409,San Patricio County,24.4,32.9
Texas,48411,San Saba County,24.8,27.3
Texas,48413,Schleicher County,24.5,27.2
Texas,48415,Scurry County,24.2,26
Texas,48417,Shackelford County,24.2,27.8
Texas,48419,Shelby County,25.7,31.1
Texas,48421,Sherman County,24.5,27.1
Texas,48423,Smith County,28.1,29.5
Texas,48425,Somervell County,24.3,27.2
Texas,48427,Starr County,24.4,29.6
Texas,48429,Stephens County,26.3,26.7
Texas,48431,Sterling County,23.9,27
Texas,48433,Stonewall County,24.7,26.6
Texas,48435,Sutton County,24.6,26.2
Texas,48437,Swisher County,24.2,27.7
Texas,48439,Tarrant County,22.1,28.7
Texas,48441,Taylor County,25,30.9
Texas,48443,Terrell County,24.8,26.8
Texas,48445,Terry County,25.4,29.1
Texas,48447,Throckmorton County,24,26.5
Texas,48449,Titus County,24.7,30.7
Texas,48451,Tom Green County,23,27.6
Texas,48453,Travis County,19.5,20.5
Texas,48455,Trinity County,27,27
Texas,48457,Tyler County,24.5,31.2
Texas,48459,Upshur County,25.9,29.1
Texas,48461,Upton County,24.8,26.5
Texas,48463,Uvalde County,24.5,30
Texas,48465,Val Verde County,24.2,30.1
Texas,48467,Van Zandt County,23.6,30
Texas,48469,Victoria County,25.4,34.2
Texas,48471,Walker County,25.9,29.5
Texas,48473,Waller County,26.3,33.5
Texas,48475,Ward County,24.5,28.3
Texas,48477,Washington County,26.1,29.5
Texas,48479,Webb County,23.9,31.3
Texas,48481,Wharton County,27.8,31.7
Texas,48483,Wheeler County,24.7,27.6
Texas,48485,Wichita County,24.5,31
Texas,48487,Wilbarger County,25.1,27.7
Texas,48489,Willacy County,24.1,27.7
Texas,48491,Williamson County,21.2,30.9
Texas,48493,Wilson County,24,30.9
Texas,48495,Winkler County,25.3,27.4
Texas,48497,Wise County,25.1,30.5
Texas,48499,Wood County,24.7,30.4
Texas,48501,Yoakum County,25.3,26.4
Texas,48503,Young County,23.9,26.8
Texas,48505,Zapata County,24.8,26.4
Texas,48507,Zavala County,24.3,27.3
Utah,49001,Beaver County,20.4,25.3
Utah,49003,Box Elder County,23.9,33.4
Utah,49005,Cache County,20.6,22.5
Utah,49007,Carbon County,22.2,26.2
Utah,49009,Daggett County,20,25.6
Utah,49011,Davis County,19.9,25
Utah,49013,Duchesne County,25.7,27.6
Utah,49015,Emery County,21.8,25.2
Utah,49017,Garfield County,21,32.2
Utah,49019,Grand County,18.5,21.7
Utah,49021,Iron County,21.4,23.5
Utah,49023,Juab County,22.5,27.9
Utah,49025,Kane County,21.2,25.4
Utah,49027,Millard County,24.2,31
Utah,49029,Morgan County,19.9,21.5
Utah,49031,Piute County,21.7,25.4
Utah,49033,Rich County,21,25.9
Utah,49035,Salt Lake County,21.4,25.5
Utah,49037,San Juan County,21.3,26.4
Utah,49039,Sanpete County,20.4,25.5
Utah,49041,Sevier County,20.8,29.8
Utah,49043,Summit County,12.5,13.9
Utah,49045,Tooele County,24.1,31.5
Utah,49047,Uintah County,25.1,27.6
Utah,49049,Utah County,20.6,25.3
Utah,49051,Wasatch County,18.7,22.8
Utah,49053,Washington County,19.1,23.7
Utah,49055,Wayne County,20.5,22
Utah,49057,Weber County,22.8,28.4
Vermont,50001,Addison County,20.8,22.6
Vermont,50003,Bennington County,18.8,24.1
Vermont,50005,Caledonia County,20.3,28
Vermont,50007,Chittenden County,17.3,19.6
Vermont,50009,Essex County,20.8,29.7
Vermont,50011,Franklin County,23.6,27.2
Vermont,50013,Grand Isle County,19.3,26.8
Vermont,50015,Lamoille County,20.5,25
Vermont,50017,Orange County,21.8,26.5
Vermont,50019,Orleans County,22.1,28.6
Vermont,50021,Rutland County,21.8,29.7
Vermont,50023,Washington County,20.8,22.7
Vermont,50025,Windham County,18.1,23
Vermont,50027,Windsor County,18.2,23.7
Virginia,51001,Accomack County,29.5,35
Virginia,51003,Albemarle County,21.4,22.3
Virginia,51005,Alleghany County,24.2,33.7
Virginia,51007,Amelia County,26.7,28.4
Virginia,51009,Amherst County,26.3,29
Virginia,51011,Appomattox County,25.5,29
Virginia,51013,Arlington County,18.4,16.7
Virginia,51015,Augusta County,23.7,34
Virginia,51017,Bath County,23.8,28.9
Virginia,51019,Bedford County,23,32.9
Virginia,51021,Bland County,25.6,31
Virginia,51023,Botetourt County,23.3,25.2
Virginia,51025,Brunswick County,29.6,35.6
Virginia,51027,Buchanan County,23.9,31.8
Virginia,51029,Buckingham County,26.6,33.2
Virginia,51031,Campbell County,25.7,31.6
Virginia,51033,Caroline County,27,29.1
Virginia,51035,Carroll County,23.6,29.2
Virginia,51036,Charles City County,27.8,34.2
Virginia,51037,Charlotte County,26.7,33.2
Virginia,51041,Chesterfield County,25.7,25.5
Virginia,51043,Clarke County,22.9,26.3
Virginia,51045,Craig County,22.6,27.5
Virginia,51047,Culpeper County,26.4,31.3
Virginia,51049,Cumberland County,26.2,31.9
Virginia,51051,Dickenson County,24.4,35.3
Virginia,51053,Dinwiddie County,26.2,32.2
Virginia,51057,Essex County,25.5,32.5
Virginia,51059,Fairfax County,20,19.9
Virginia,51061,Fauquier County,21.5,24.8
Virginia,51063,Floyd County,22.8,26.2
Virginia,51065,Fluvanna County,23.4,27.3
Virginia,51067,Franklin County,23.3,28.3
Virginia,51069,Frederick County,23.6,31.7
Virginia,51071,Giles County,23.5,30.3
Virginia,51073,Gloucester County,24.4,34.4
Virginia,51075,Goochland County,25,27.6
Virginia,51077,Grayson County,22.8,30.5
Virginia,51079,Greene County,24.4,27.6
Virginia,51081,Greensville County,29.2,32.4
Virginia,51083,Halifax County,28.5,32.1
Virginia,51085,Hanover County,21,26.9
Virginia,51087,Henrico County,24.4,27.3
Virginia,51089,Henry County,25,32.4
Virginia,51091,Highland County,22.6,26
Virginia,51093,Isle of Wight County,25.8,28.5
Virginia,51095,James City County,24.2,25.1
Virginia,51097,King and Queen County,25.8,29.5
Virginia,51099,King George County,25,27.8
Virginia,51101,King William County,25.7,25.7
Virginia,51103,Lancaster County,24.5,30.3
Virginia,51105,Lee County,25.8,29.3
Virginia,51107,Loudoun County,20.6,21.3
Virginia,51109,Louisa County,23.7,31.9
Virginia,51111,Lunenburg County,26.6,26.9
Virginia,51113,Madison County,24.6,28.8
Virginia,51115,Mathews County,23.6,27.6
Virginia,51117,Mecklenburg County,28,30.9
Virginia,51119,Middlesex County,23.8,25.9
Virginia,51121,Montgomery County,22.5,24.4
Virginia,51125,Nelson County,24.9,29.4
Virginia,51127,New Kent County,24.2,27.6
Virginia,51131,Northampton County,28.5,36.1
Virginia,51133,Northumberland County,24.4,26.4
Virginia,51135,Nottoway County,26.4,33.8
Virginia,51137,Orange County,25.8,28.1
Virginia,51139,Page County,22.7,28.1
Virginia,51141,Patrick County,21.8,31.2
Virginia,51143,Pittsylvania County,27.4,31.7
Virginia,51145,Powhatan County,25.8,29.5
Virginia,51147,Prince Edward County,24.8,32.1
Virginia,51149,Prince George County,26.1,32.9
Virginia,51153,Prince William County,27.4,25.2
Virginia,51155,Pulaski County,25.9,32.9
Virginia,51157,Rappahannock County,22.9,26.8
Virginia,51159,Richmond County,26.5,29.8
Virginia,51161,Roanoke County,21.6,26.3
Virginia,51163,Rockbridge County,23.1,24.3
Virginia,51165,Rockingham County,22.3,26.3
Virginia,51167,Russell County,22.9,28.6
Virginia,51169,Scott County,24.6,31.3
Virginia,51171,Shenandoah County,26.8,26.5
Virginia,51173,Smyth County,22.1,29.7
Virginia,51175,Southampton County,26.3,30.4
Virginia,51177,Spotsylvania County,21.7,32.1
Virginia,51179,Stafford County,24.2,29
Virginia,51181,Surry County,27.8,34.5
Virginia,51183,Sussex County,29.1,35.7
Virginia,51185,Tazewell County,25,30.3
Virginia,51187,Warren County,22.3,28.7
Virginia,51191,Washington County,24.7,30
Virginia,51193,Westmoreland County,26.9,30.4
Virginia,51195,Wise County,26,30.6
Virginia,51197,Wythe County,23.9,31.2
Virginia,51199,York County,22.7,25.5
Virginia,51510,Alexandria city,21.5,20.4
Virginia,51515,Bedford city,24.8,No Data
Virginia,51520,Bristol city,23,27.2
Virginia,51530,Buena Vista city,22.9,25.8
Virginia,51540,Charlottesville city,23.3,26.3
Virginia,51550,Chesapeake city,26.9,31.8
Virginia,51570,Colonial Heights city,23.7,26.9
Virginia,51580,Covington city,24.7,26.1
Virginia,51590,Danville city,28.6,34.1
Virginia,51595,Emporia city,27.6,29.4
Virginia,51600,Fairfax city,23.9,21.5
Virginia,51610,Falls Church city,24.1,26.9
Virginia,51620,Franklin city,28.1,34.1
Virginia,51630,Fredericksburg city,25.7,29
Virginia,51640,Galax city,22.9,26
Virginia,51650,Hampton city,28.2,34.6
Virginia,51660,Harrisonburg city,23.5,25.3
Virginia,51670,Hopewell city,25.7,31.8
Virginia,51678,Lexington city,23.8,26.7
Virginia,51680,Lynchburg city,24.9,27.3
Virginia,51683,Manassas city,24.1,28.4
Virginia,51685,Manassas Park city,25.4,28.3
Virginia,51690,Martinsville city,28,33.5
Virginia,51700,Newport News city,28.4,32.2
Virginia,51710,Norfolk city,26.5,30.3
Virginia,51720,Norton city,23.5,25.9
Virginia,51730,Petersburg city,32.6,40.9
Virginia,51735,Poquoson city,23,24.2
Virginia,51740,Portsmouth city,29.5,37.1
Virginia,51750,Radford city,23.7,29.9
Virginia,51760,Richmond city,26.1,30.1
Virginia,51770,Roanoke city,27.5,31.7
Virginia,51775,Salem city,25.1,25
Virginia,51790,Staunton city,24.9,27.1
Virginia,51800,Suffolk city,26.3,31.4
Virginia,51810,Virginia Beach city,22.9,27.7
Virginia,51820,Waynesboro city,22.9,29.8
Virginia,51830,Williamsburg city,24.1,26.6
Virginia,51840,Winchester city,22.4,26.5
Washington,53001,Adams County,28.8,34.4
Washington,53003,Asotin County,25.8,33.5
Washington,53005,Benton County,22.7,31.3
Washington,53007,Chelan County,21.3,26.3
Washington,53009,Clallam County,24.2,26.3
Washington,53011,Clark County,26.2,29.7
Washington,53013,Columbia County,28,29.6
Washington,53015,Cowlitz County,28.9,31.9
Washington,53017,Douglas County,23.8,28.5
Washington,53019,Ferry County,25.9,27.7
Washington,53021,Franklin County,23.5,30.1
Washington,53023,Garfield County,26.5,33.1
Washington,53025,Grant County,26.7,34.3
Washington,53027,Grays Harbor County,26.9,37.4
Washington,53029,Island County,23.1,27.2
Washington,53031,Jefferson County,20.5,23.7
Washington,53033,King County,18.6,22
Washington,53035,Kitsap County,23.8,29.3
Washington,53037,Kittitas County,21.7,28.9
Washington,53039,Klickitat County,25.7,26.8
Washington,53041,Lewis County,28.2,32.9
Washington,53043,Lincoln County,26.6,31.1
Washington,53045,Mason County,24.7,30.4
Washington,53047,Okanogan County,24.5,27.9
Washington,53049,Pacific County,29.1,31.6
Washington,53051,Pend Oreille County,25,28.3
Washington,53053,Pierce County,25.8,29.7
Washington,53055,San Juan County,16.6,19.9
Washington,53057,Skagit County,21.3,26.2
Washington,53059,Skamania County,24,27.6
Washington,53061,Snohomish County,23.7,29
Washington,53063,Spokane County,23.4,29
Washington,53065,Stevens County,24.2,30.3
Washington,53067,Thurston County,24.1,27.7
Washington,53069,Wahkiakum County,25.7,31
Washington,53071,Walla Walla County,25.3,28
Washington,53073,Whatcom County,21.1,22.9
Washington,53075,Whitman County,23.3,23.4
Washington,53077,Yakima County,24.4,29.5
West Virginia,54001,Barbour County,28.1,37.9
West Virginia,54003,Berkeley County,28.8,34.2
West Virginia,54005,Boone County,31.2,35.3
West Virginia,54007,Braxton County,28.6,32.7
West Virginia,54009,Brooke County,29.5,39.8
West Virginia,54011,Cabell County,27.7,30.5
West Virginia,54013,Calhoun County,28.5,32.8
West Virginia,54015,Clay County,29.9,32.8
West Virginia,54017,Doddridge County,28,35.6
West Virginia,54019,Fayette County,31.8,35.8
West Virginia,54021,Gilmer County,28.6,39
West Virginia,54023,Grant County,28.7,39.7
West Virginia,54025,Greenbrier County,29.7,34.4
West Virginia,54027,Hampshire County,27.1,34
West Virginia,54029,Hancock County,26.7,34.9
West Virginia,54031,Hardy County,29.8,37.2
West Virginia,54033,Harrison County,26.9,33.5
West Virginia,54035,Jackson County,28.7,31.6
West Virginia,54037,Jefferson County,28.4,32.9
West Virginia,54039,Kanawha County,28.6,32.8
West Virginia,54041,Lewis County,29.8,36.4
West Virginia,54043,Lincoln County,27.8,40.2
West Virginia,54045,Logan County,35.6,41
West Virginia,54047,McDowell County,31.9,42.2
West Virginia,54049,Marion County,27.6,32.7
West Virginia,54051,Marshall County,25.7,35.7
West Virginia,54053,Mason County,31.6,36.3
West Virginia,54055,Mercer County,26,38
West Virginia,54057,Mineral County,28.5,34.9
West Virginia,54059,Mingo County,31.5,40.4
West Virginia,54061,Monongalia County,25.1,29
West Virginia,54063,Monroe County,28.5,31.2
West Virginia,54065,Morgan County,27.9,32.8
West Virginia,54067,Nicholas County,29.1,38.6
West Virginia,54069,Ohio County,26.7,31.5
West Virginia,54071,Pendleton County,27.2,36.9
West Virginia,54073,Pleasants County,30.3,39.1
West Virginia,54075,Pocahontas County,30.5,31.6
West Virginia,54077,Preston County,27.2,36.1
West Virginia,54079,Putnam County,25.9,34.6
West Virginia,54081,Raleigh County,26.7,35.9
West Virginia,54083,Randolph County,27.4,35.2
West Virginia,54085,Ritchie County,27.7,35.9
West Virginia,54087,Roane County,27.9,36.6
West Virginia,54089,Summers County,29.4,36.4
West Virginia,54091,Taylor County,28.6,37.3
West Virginia,54093,Tucker County,31,38.8
West Virginia,54095,Tyler County,30.5,32.6
West Virginia,54097,Upshur County,28.7,38.4
West Virginia,54099,Wayne County,29.7,38
West Virginia,54101,Webster County,30.1,35
West Virginia,54103,Wetzel County,27.9,33.3
West Virginia,54105,Wirt County,27.9,36.9
West Virginia,54107,Wood County,30.3,36.3
West Virginia,54109,Wyoming County,28.1,39.1
Wisconsin,55001,Adams County,24,33.3
Wisconsin,55003,Ashland County,23,26.7
Wisconsin,55005,Barron County,24.7,31.1
Wisconsin,55007,Bayfield County,23.8,28
Wisconsin,55009,Brown County,22.4,28
Wisconsin,55011,Buffalo County,23.2,31.4
Wisconsin,55013,Burnett County,23.5,27.8
Wisconsin,55015,Calumet County,24.5,30.7
Wisconsin,55017,Chippewa County,22.5,29.6
Wisconsin,55019,Clark County,23.3,33.9
Wisconsin,55021,Columbia County,23.1,34.5
Wisconsin,55023,Crawford County,22.8,32.4
Wisconsin,55025,Dane County,20.9,23.6
Wisconsin,55027,Dodge County,24.9,31.2
Wisconsin,55029,Door County,22.8,26.4
Wisconsin,55031,Douglas County,23.3,31.8
Wisconsin,55033,Dunn County,22.8,32.2
Wisconsin,55035,Eau Claire County,23.3,29.1
Wisconsin,55037,Florence County,23.2,30.7
Wisconsin,55039,Fond du Lac County,24.1,29.6
Wisconsin,55041,Forest County,24,34.5
Wisconsin,55043,Grant County,24.2,31.7
Wisconsin,55045,Green County,25.9,30.9
Wisconsin,55047,Green Lake County,22.4,34
Wisconsin,55049,Iowa County,23,31.4
Wisconsin,55051,Iron County,22.6,28.2
Wisconsin,55053,Jackson County,23.7,32.2
Wisconsin,55055,Jefferson County,22.8,28.9
Wisconsin,55057,Juneau County,22.6,35.6
Wisconsin,55059,Kenosha County,25.3,32.5
Wisconsin,55061,Kewaunee County,23.3,32.8
Wisconsin,55063,La Crosse County,23.1,28.1
Wisconsin,55065,Lafayette County,23.3,35
Wisconsin,55067,Langlade County,24.6,28.9
Wisconsin,55069,Lincoln County,23.2,32
Wisconsin,55071,Manitowoc County,25.3,30.3
Wisconsin,55073,Marathon County,23.2,29
Wisconsin,55075,Marinette County,24.4,35.2
Wisconsin,55077,Marquette County,24.3,34.4
Wisconsin,55078,Menominee County,29.6,42.5
Wisconsin,55079,Milwaukee County,26.4,32.7
Wisconsin,55081,Monroe County,23,32.5
Wisconsin,55083,Oconto County,24.9,29.5
Wisconsin,55085,Oneida County,21.8,32
Wisconsin,55087,Outagamie County,24.4,29.6
Wisconsin,55089,Ozaukee County,21.5,26.2
Wisconsin,55091,Pepin County,22.7,33.6
Wisconsin,55093,Pierce County,23.6,29.9
Wisconsin,55095,Polk County,23.5,29.7
Wisconsin,55097,Portage County,22.1,33.3
Wisconsin,55099,Price County,23.3,33.7
Wisconsin,55101,Racine County,23.2,32.5
Wisconsin,55103,Richland County,23,31.1
Wisconsin,55105,Rock County,25.6,36.6
Wisconsin,55107,Rusk County,23.3,31
Wisconsin,55109,St. Croix County,23.9,25.7
Wisconsin,55111,Sauk County,23.1,32
Wisconsin,55113,Sawyer County,25.1,29
Wisconsin,55115,Shawano County,23.7,33.3
Wisconsin,55117,Sheboygan County,22.8,28.7
Wisconsin,55119,Taylor County,23.2,33.7
Wisconsin,55121,Trempealeau County,24.3,28.9
Wisconsin,55123,Vernon County,22.4,32.3
Wisconsin,55125,Vilas County,23.6,27.6
Wisconsin,55127,Walworth County,23.4,24.5
Wisconsin,55129,Washburn County,22.8,30.1
Wisconsin,55131,Washington County,21.8,28.6
Wisconsin,55133,Waukesha County,20.2,26.8
Wisconsin,55135,Waupaca County,24.7,27.8
Wisconsin,55137,Waushara County,23.2,32.2
Wisconsin,55139,Winnebago County,23.7,31.5
Wisconsin,55141,Wood County,23.4,31.8
Wyoming,56001,Albany County,19.9,23.5
Wyoming,56003,Big Horn County,21.2,29.3
Wyoming,56005,Campbell County,23.7,33.6
Wyoming,56007,Carbon County,25.8,27.9
Wyoming,56009,Converse County,21.5,28
Wyoming,56011,Crook County,20.5,25.6
Wyoming,56013,Fremont County,22.2,28.3
Wyoming,56015,Goshen County,21.1,30
Wyoming,56017,Hot Springs County,25.3,27.3
Wyoming,56019,Johnson County,19.3,20.9
Wyoming,56021,Laramie County,21.7,29.7
Wyoming,56023,Lincoln County,22.1,25.3
Wyoming,56025,Natrona County,21.5,29.2
Wyoming,56027,Niobrara County,21.5,25.5
Wyoming,56029,Park County,17.9,25.6
Wyoming,56031,Platte County,23.1,28.3
Wyoming,56033,Sheridan County,20.3,22.9
Wyoming,56035,Sublette County,20.3,23.2
Wyoming,56037,Sweetwater County,23.9,31.3
Wyoming,56039,Teton County,12.5,12.5
Wyoming,56041,Uinta County,21.7,27.4
Wyoming,56043,Washakie County,21.2,27.9
Wyoming,56045,Weston County,22.7,29.1
Puerto Rico,72001,Adjuntas Municipio,No Data,
Puerto Rico,72003,Aguada Municipio,No Data,
Puerto Rico,72005,Aguadilla Municipio,No Data,
Puerto Rico,72007,Aguas Buenas Municipio,No Data,
Puerto Rico,72009,Aibonito Municipio,No Data,
Puerto Rico,72011,Añasco Municipio,No Data,
Puerto Rico,72013,Arecibo Municipio,No Data,
Puerto Rico,72015,Arroyo Municipio,No Data,
Puerto Rico,72017,Barceloneta Municipio,No Data,
Puerto Rico,72019,Barranquitas Municipio,No Data,
Puerto Rico,72021,Bayamón Municipio,No Data,
Puerto Rico,72023,Cabo Rojo Municipio,No Data,
Puerto Rico,72025,Caguas Municipio,No Data,
Puerto Rico,72027,Camuy Municipio,No Data,
Puerto Rico,72029,Canóvanas Municipio,No Data,
Puerto Rico,72031,Carolina Municipio,No Data,
Puerto Rico,72033,Cataño Municipio,No Data,
Puerto Rico,72035,Cayey Municipio,No Data,
Puerto Rico,72037,Ceiba Municipio,No Data,
Puerto Rico,72039,Ciales Municipio,No Data,
Puerto Rico,72041,Cidra Municipio,No Data,
Puerto Rico,72043,Coamo Municipio,No Data,
Puerto Rico,72045,Comerío Municipio,No Data,
Puerto Rico,72047,Corozal Municipio,No Data,
